id,name,type,location,startDate,endDate,website,hostingTeams
"88016","2016-17 Seriespel Elitserien","Invitational","Sweden","2016-10-15","2017-04-15","http://www.skridsko.se/Arbetsrumslista/RollerDerby/TavlingochNatverk/SMochSeriespel","9395,7771,29732,26066"
"91946","2017 5x5 Roller Derby Championship","Invitational","NSW, Australia","2017-03-25","2017-03-25","",""
"92410","2017 A Skate Odyssey","Invitational","Gent, Belgium","2017-05-26","2017-05-28","http://www.askateodyssey.com/","8083"
"104624","2017 Attack of the C Squads","Seeded Bracket","Sonora, California","2017-05-20","2017-05-21","https://www.facebook.com/events/267685210294740/?active_tab=about",""
"97540","2017 Australian Men's Roller Derby National Championships","Seeded Bracket","Coffs Harbor, NSW, Australia","2017-11-11","2017-11-12","https://www.facebook.com/events/118577942090783/","63694,24541"
"91279","2017 B-Cup Challenge","Invitational","Bloomington, IN","2017-05-20","2017-05-21","","3455"
"93064","2017 Beaver Fever","Invitational","Kitchener-Waterloo, ON","2017-06-09","2017-06-11","http://www.tricityrd.com/","3650"
"88785","2017 Besterns","Seeded Bracket","Denver, CO","2017-06-02","2017-06-04","http://rockymountainrollergirls.com/besterns/","3405"
"94499","2017 Big Island Brawl","Invitational","Hilo, HI","2017-06-02","2017-06-04","https://www.facebook.com/pg/BigIslandBrawl","7761"
"92433","2017 Boardwalk Empire","Invitational","Santa Cruz, CA","2017-04-07","2017-04-09","","3638"
"89415","2017 Clover Cup","Invitational","Dallas, TX","2017-03-17","2017-03-19","http://www.clovercup.com/","3400"
"94070","2017 Coastal Chaos","Seeded Bracket","Rockland, Maine","2017-06-09","2017-06-11","https://www.facebook.com/events/200799550402613/","7822"
"104627","2017 Deep Blue Derby Tournament","Seeded Bracket","South Lake Tahoe, CA","2017-09-16","2017-09-17","https://www.facebook.com/events/818942858246972/","40352"
"91815","2017 Dustbowl Invitational","Seeded Bracket","Bakersfield, CA","2017-03-17","2017-03-19","https://www.facebook.com/DUSTBOWLINVITATIONAL",""
"98442","2017 ERRD Smackdown","Invitational","New South Wales","2017-09-30","2017-10-01","",""
"92176","2017 Fantastic 8","Invitational","Metz, France","2017-04-15","2017-04-17","http://www.fantastic8tournament.com/","11049"
"95317","2017 Flat Track Fever","Invitational","","2017-05-26","2017-05-28","",""
"96947","2017 Franky Panky","Invitational","Tampa, Florida","2017-08-12","2017-08-13","","3440"
"95314","2017 Golden Bowl","Invitational","San Francisco, CA","2017-06-16","2017-06-18","https://www.facebook.com/events/214218145756594/","3404"
"95647","2017 Hometown Throwdown","Invitational","Portland, OR","2017-06-23","2017-06-25","https://www.facebook.com/events/1030727997032989","3409"
"97053","2017 JRDA Championship Tournament - Female Division","Championship","","2017-07-14","2017-07-16","",""
"97054","2017 JRDA NW Regional Tournament","Western Regional","","2017-05-27","2017-05-28","",""
"88165","2017 Low Down Throw Down","Seeded Bracket","Augusta, GA","2017-05-05","2017-05-07","http://soulcitysirens.com/scs-schedule/ldtd/","8102"
"94350","2017 Mayday Mayhem","Seeded Bracket","Greeley, CO","2017-06-09","2017-06-11","https://www.facebook.com/events/1618942931736340/","3469"
"94425","2017 Midwest Brewhaha","Invitational","Milwaukee, Wisconsin","2017-06-03","2017-06-04","http://www.brewcitybruisers.com/midwest-brewhaha/","3419"
"95423","2017 Midwest Derbyfest","Seeded Bracket","Lebanon, MO","2017-06-16","2017-06-18","https://www.facebook.com/Midwest-DerbyFest-Tournament-154774318001746/",""
"97547","2017 Mitten Kitten Mash-Up","Invitational","Mackinaw City, MI","2017-10-13","2017-10-15","https://www.facebook.com/events/130731750815047/","51792,47468"
"95649","2017 Quad Cup","Invitational","Coimbra, Portugal","2017-07-01","2017-07-02","https://www.facebook.com/events/1420251358011495/1","72254"
"92687","2017 Rhodey Robin","Invitational","Providence, RI","2017-04-22","2017-04-23","http://providencerollerderby.com/april-22-23-rhodey-robin-with-dc-and-carolina-rollergirls/","3415"
"98672","2017 River Valley Riot","Seeded Bracket","Saint Clairesville, OH","2017-11-18","2017-11-19","","13100"
"95648","2017 Roller Derby SM-veckan","Seeded Bracket","Borås, Sweden","2017-07-01","2017-07-02","https://www.facebook.com/rollerderbySM/","99356"
"94101","2017 Savannah Summer Slam","Seeded Bracket","Savannah, GA","2017-06-24","2017-06-25","http://savannahderby.com/schedule/#1492052487350-59a125df-96cc","8894"
